,display_name,name,start_date,end_date,type
159001.XSHE,保证金,BZJ,2014-10-20,2200-01-01,etf
159003.XSHE,招商快线,ZSKX,2014-10-20,2200-01-01,etf
159005.XSHE,添富快钱,TFKQ,2015-01-13,2200-01-01,etf
159702.XSHE,AIETF,AIETF,2021-05-18,2200-01-01,etf
159703.XSHE,新材料,XCL,2021-06-08,2200-01-01,etf
159735.XSHE,港股消费,GGXF,2021-06-04,2200-01-01,etf
159740.XSHE,恒生科技,HSKJ,2021-05-27,2200-01-01,etf
159741.XSHE,港股科技,GGKJ,2021-06-03,2200-01-01,etf
159742.XSHE,恒指科技,HZKJ,2021-05-25,2200-01-01,etf
159801.XSHE,芯片基金,XPJJ,2020-02-18,2200-01-01,etf
159803.XSHE,浙江ETF,ZJETF,2020-05-26,2200-01-01,etf
159804.XSHE,创精选88,CJX88,2020-03-31,2200-01-01,etf
159805.XSHE,传媒ETF,CMETF,2020-04-17,2200-01-01,etf
159806.XSHE,新能车,XNC,2020-03-20,2200-01-01,etf
159807.XSHE,科技50,KJETF,2020-03-30,2200-01-01,etf
159808.XSHE,创业板RT,CYBRT,2020-09-04,2200-01-01,etf
159809.XSHE,恒生湾区,HSWQ,2020-05-21,2200-01-01,etf
159810.XSHE,浦银创业,PYCY,2020-07-10,2200-01-01,etf
159811.XSHE,5G50ETF,5G50ETF,2020-04-22,2200-01-01,etf
159812.XSHE,黄金基金,HJJJ,2020-05-29,2200-01-01,etf
159813.XSHE,芯片,XP,2020-05-25,2200-01-01,etf
159814.XSHE,创业大盘,CYDP,2020-07-17,2200-01-01,etf
159815.XSHE,浙江100,ZJ100,2020-08-18,2200-01-01,etf
159816.XSHE,0-4地债,0-4DZ,2020-09-04,2200-01-01,etf
159819.XSHE,AI智能,AIZN,2020-09-23,2200-01-01,etf
159820.XSHE,500ETF基,500ETFJ,2020-08-24,2200-01-01,etf
159821.XSHE,BOCI创业,BOCICY,2020-10-29,2200-01-01,etf
159822.XSHE,新经济,XJJ,2020-10-23,2200-01-01,etf
159823.XSHE,H股50ETF,HG50ETF,2020-10-23,2200-01-01,etf
159824.XSHE,新能汽车,XNQC,2021-01-11,2200-01-01,etf
159825.XSHE,农业ETF,NYETF,2020-12-29,2200-01-01,etf
159827.XSHE,农业50,NY50,2020-12-18,2200-01-01,etf
159828.XSHE,医疗ETF,YLETF,2021-01-12,2200-01-01,etf
159835.XSHE,创新药业,CXYY,2021-03-29,2200-01-01,etf
159836.XSHE,创300ETF,C300ETF,2021-05-25,2200-01-01,etf
159837.XSHE,生物科技,SWKJ,2021-01-27,2200-01-01,etf
159839.XSHE,生物药,SWY,2021-02-22,2200-01-01,etf
159841.XSHE,证券ETF,ZQETF,2021-02-09,2200-01-01,etf
159842.XSHE,券商ETF,QSETF,2021-03-19,2200-01-01,etf
159843.XSHE,食品饮料,SPYL,2021-02-05,2200-01-01,etf
159845.XSHE,中证1000,ZZ1000,2021-03-31,2200-01-01,etf
159848.XSHE,证券公司,ZQGS,2021-03-12,2200-01-01,etf
159849.XSHE,生物ETF,SWETF,2021-03-02,2200-01-01,etf
159850.XSHE,H股50,HG50,2021-02-19,2200-01-01,etf
159851.XSHE,金科ETF,JKETF,2021-03-19,2200-01-01,etf
159852.XSHE,软件ETF,RJETF,2021-02-09,2200-01-01,etf
159855.XSHE,影视ETF,YSETF,2021-02-26,2200-01-01,etf
159856.XSHE,互联网50,HLW50,2021-02-01,2200-01-01,etf
159857.XSHE,光伏ETF,GFETF,2021-02-24,2200-01-01,etf
159858.XSHE,创新药指,CXYZ,2021-03-25,2200-01-01,etf
159861.XSHE,环保ETF,HBETF,2021-04-02,2200-01-01,etf
159863.XSHE,光伏产业,GFCY,2021-03-11,2200-01-01,etf
159865.XSHE,养殖ETF,YZETF,2021-03-08,2200-01-01,etf
159866.XSHE,日经ETF,RJETF,2021-04-08,2200-01-01,etf
159867.XSHE,畜牧ETF,XMETF,2021-03-05,2200-01-01,etf
159869.XSHE,游戏ETF,YXETF,2021-03-05,2200-01-01,etf
159870.XSHE,化工ETF,HGETF,2021-03-03,2200-01-01,etf
159871.XSHE,有色金属,YSJS,2021-03-31,2200-01-01,etf
159873.XSHE,医疗设备,YLSB,2021-03-29,2200-01-01,etf
159876.XSHE,有色,YS,2021-03-24,2200-01-01,etf
159880.XSHE,有色50,YS50,2021-03-25,2200-01-01,etf
159883.XSHE,医疗器械,YLQX,2021-04-30,2200-01-01,etf
159885.XSHE,低碳ETF,DTETF,2021-04-14,2200-01-01,etf
159886.XSHE,机械ETF,JXETF,2021-04-28,2200-01-01,etf
159887.XSHE,银行ETF,YHETF,2021-05-20,2200-01-01,etf
159888.XSHE,智能车,ZNC,2021-05-21,2200-01-01,etf
159890.XSHE,云ETF,YETF,2021-04-02,2200-01-01,etf
159891.XSHE,医疗,YL,2021-06-15,2200-01-01,etf
159898.XSHE,器械ETF,QXETF,2021-06-04,2200-01-01,etf
159901.XSHE,深100ETF,S100ETF,2006-04-24,2200-01-01,etf
159902.XSHE,中小100,ZXB,2006-09-05,2200-01-01,etf
159903.XSHE,深成ETF,SCETF,2010-02-02,2200-01-01,etf
159905.XSHE,深红利,SHL,2011-01-11,2200-01-01,etf
159906.XSHE,深成长,SCZ,2011-02-23,2200-01-01,etf
159907.XSHE,中小300,ZX300,2011-08-10,2200-01-01,etf
159908.XSHE,创业板BS,SF200,2011-07-13,2200-01-01,etf
159909.XSHE,深TMT,STMT,2011-09-01,2200-01-01,etf
159910.XSHE,深F120,SF120,2011-09-27,2200-01-01,etf
159912.XSHE,深300ETF,S300ETF,2011-11-24,2200-01-01,etf
159913.XSHE,深价值,SJZ,2011-10-25,2200-01-01,etf
159915.XSHE,创业板,CYB,2011-12-09,2200-01-01,etf
159916.XSHE,深F60,SF60,2011-10-24,2200-01-01,etf
159918.XSHE,中创400,ZC400,2012-05-11,2200-01-01,etf
159919.XSHE,300ETF,300ETF,2012-05-28,2200-01-01,etf
159920.XSHE,恒生ETF,HSETF,2012-10-22,2200-01-01,etf
159922.XSHE,500ETF,500ETF,2013-03-15,2200-01-01,etf
159923.XSHE,100ETF,100ETF,2013-03-05,2200-01-01,etf
159925.XSHE,南方300,NF300,2013-04-11,2200-01-01,etf
159926.XSHE,国债ETF,GZETF,2013-08-05,2200-01-01,etf
159928.XSHE,消费ETF,XFETF,2013-09-16,2200-01-01,etf
159929.XSHE,医药ETF,YYETF,2013-09-16,2200-01-01,etf
159930.XSHE,能源ETF,NYETF,2013-09-16,2200-01-01,etf
159931.XSHE,金融ETF,JRETF,2013-09-16,2200-01-01,etf
159932.XSHE,500深ETF,500SETF,2013-10-21,2200-01-01,etf
159933.XSHE,金地ETF,JDETF,2013-10-16,2200-01-01,etf
159934.XSHE,黄金ETF,HJETF,2013-12-16,2200-01-01,etf
159935.XSHE,景顺500,JS500,2014-01-21,2200-01-01,etf
159936.XSHE,可选消费,KXXF,2014-06-25,2200-01-01,etf
159937.XSHE,黄金9999,BSHJ,2014-09-01,2200-01-01,etf
159940.XSHE,金融,QZJR,2015-04-17,2200-01-01,etf
159941.XSHE,纳指ETF,NZ100,2015-07-13,2200-01-01,etf
159943.XSHE,深证ETF,SZETF,2015-07-08,2200-01-01,etf
159944.XSHE,材料ETF,QZCL,2015-07-06,2200-01-01,etf
159945.XSHE,能源,QZNY,2015-07-06,2200-01-01,etf
159948.XSHE,创业板EF,CYBEF,2016-05-31,2200-01-01,etf
159949.XSHE,创业板50,CYB50,2016-07-22,2200-01-01,etf
159951.XSHE,中关村A,ZGCA,2017-07-10,2200-01-01,etf
159952.XSHE,创业ETF,CYETF,2017-05-19,2200-01-01,etf
159954.XSHE,H股ETF,HGETF,2018-03-15,2200-01-01,etf
159955.XSHE,创业板E,CYBE,2017-08-23,2200-01-01,etf
159956.XSHE,创业板F,CYBF,2018-03-07,2200-01-01,etf
159957.XSHE,创业板HX,CYBHX,2018-01-04,2200-01-01,etf
159958.XSHE,创业板ET,CYBET,2018-01-19,2200-01-01,etf
159959.XSHE,央企ETF,YHYQ,2019-01-18,2200-01-01,etf
159960.XSHE,恒生国企,HSGQ,2018-10-22,2200-01-01,etf
159961.XSHE,深100,S100,2018-12-19,2200-01-01,etf
159962.XSHE,四川国改,SCGG,2019-04-18,2200-01-01,etf
159964.XSHE,创业板PA,CYBPA,2019-04-19,2200-01-01,etf
159965.XSHE,央视50,YS50,2019-04-24,2200-01-01,etf
159966.XSHE,创蓝筹,CLC,2019-07-15,2200-01-01,etf
159967.XSHE,创成长,CCZ,2019-07-15,2200-01-01,etf
159968.XSHE,ZZ500ETF,ZZ500ETF,2019-10-31,2200-01-01,etf
159969.XSHE,深100P,S100P,2019-08-28,2200-01-01,etf
159970.XSHE,深100ET,S100ET,2020-01-10,2200-01-01,etf
159971.XSHE,创业100,CYBFG,2019-07-02,2200-01-01,etf
159972.XSHE,5年地债,5NDZ,2019-11-08,2200-01-01,etf
159973.XSHE,民企100,MQ100,2019-08-09,2200-01-01,etf
159974.XSHE,央企创新,YQCX,2019-12-18,2200-01-01,etf
159975.XSHE,深100SZ,S100SZ,2020-01-02,2200-01-01,etf
159976.XSHE,湾创ETF,WCETF,2020-01-17,2200-01-01,etf
159977.XSHE,创业板TH,CYBTH,2019-09-27,2200-01-01,etf
159978.XSHE,湾区ETF,WQETF,2020-04-14,2200-01-01,etf
159979.XSHE,湾创100,WC100,2020-02-14,2200-01-01,etf
159980.XSHE,有色ETF,YSQH,2019-12-24,2200-01-01,etf
159981.XSHE,能源化工,NYHG,2020-01-17,2200-01-01,etf
159982.XSHE,中证500,ZZ500,2020-02-20,2200-01-01,etf
159983.XSHE,大湾区,DWQ,2020-04-23,2200-01-01,etf
159984.XSHE,湾区基金,WQJJ,2020-01-17,2200-01-01,etf
159985.XSHE,豆粕ETF,DPETF,2019-12-05,2200-01-01,etf
159986.XSHE,消费100,XF100,2020-01-20,2200-01-01,etf
159987.XSHE,创新ETF,CXETF,2019-11-18,2200-01-01,etf
159988.XSHE,粤债ETF,YZETF,2020-05-29,2200-01-01,etf
159990.XSHE,小盘价值,XPJZ,2020-01-20,2200-01-01,etf
159991.XSHE,创大盘,CDP,2020-04-24,2200-01-01,etf
159992.XSHE,创新药,CXY,2020-04-10,2200-01-01,etf
159993.XSHE,龙头券商,LTQS,2020-02-07,2200-01-01,etf
159994.XSHE,5GETF,5GETF,2020-02-28,2200-01-01,etf
159995.XSHE,芯片ETF,XPETF,2020-02-10,2200-01-01,etf
159996.XSHE,家电ETF,JDETF,2020-03-16,2200-01-01,etf
159997.XSHE,电子ETF,DZETF,2020-03-20,2200-01-01,etf
159998.XSHE,计算机,JSJ,2020-04-13,2200-01-01,etf
159999.XSHE,永赢500,YY500,2020-08-12,2200-01-01,etf
510010.XSHG,治理ETF,ZLETF,2009-12-15,2200-01-01,etf
510020.XSHG,超大ETF,CDETF,2010-03-19,2200-01-01,etf
510030.XSHG,价值ETF,JZETF,2010-05-28,2200-01-01,etf
510050.XSHG,50ETF,50ETF,2005-02-23,2200-01-01,etf
510060.XSHG,央企ETF,YQETF,2009-10-27,2200-01-01,etf
510090.XSHG,责任ETF,ZRETF,2010-08-09,2200-01-01,etf
510100.XSHG,SZ50ETF,SZ50ETF,2019-10-09,2200-01-01,etf
510110.XSHG,周期ETF,ZQETF,2010-11-15,2200-01-01,etf
510120.XSHG,非周ETF,FZETF,2011-06-08,2200-01-01,etf
510130.XSHG,中盘ETF,ZPETF,2010-06-23,2200-01-01,etf
